[2026-03-14 19:50:48,028][train.py][INFO] Start training!
[2026-03-14 19:51:09,508][train.py][INFO] Epoch:[100/120] [99/237] Loss:0.19053
[2026-03-14 19:51:30,504][train.py][INFO] Epoch:[100/120] [199/237] Loss:0.30293
[2026-03-14 19:51:59,528][train.py][INFO] Epoch:[101/120] [99/237] Loss:0.30116
[2026-03-14 19:52:20,553][train.py][INFO] Epoch:[101/120] [199/237] Loss:0.18532
[2026-03-14 19:52:49,628][train.py][INFO] Epoch:[102/120] [99/237] Loss:0.12720
[2026-03-14 19:53:10,645][train.py][INFO] Epoch:[102/120] [199/237] Loss:0.58263
[2026-03-14 19:53:39,707][train.py][INFO] Epoch:[103/120] [99/237] Loss:0.12060
[2026-03-14 19:54:00,708][train.py][INFO] Epoch:[103/120] [199/237] Loss:0.10555
[2026-03-14 19:54:29,765][train.py][INFO] Epoch:[104/120] [99/237] Loss:0.10948
[2026-03-14 19:54:50,782][train.py][INFO] Epoch:[104/120] [199/237] Loss:0.71091
[2026-03-14 19:55:19,866][train.py][INFO] Epoch:[105/120] [99/237] Loss:0.29848
[2026-03-14 19:55:40,877][train.py][INFO] Epoch:[105/120] [199/237] Loss:0.20045
[2026-03-14 19:56:09,982][train.py][INFO] Epoch:[106/120] [99/237] Loss:0.21875
[2026-03-14 19:56:31,032][train.py][INFO] Epoch:[106/120] [199/237] Loss:0.58523
[2026-03-14 19:57:00,140][train.py][INFO] Epoch:[107/120] [99/237] Loss:0.06306
[2026-03-14 19:57:21,159][train.py][INFO] Epoch:[107/120] [199/237] Loss:0.29152
[2026-03-14 19:57:50,257][train.py][INFO] Epoch:[108/120] [99/237] Loss:0.08970
[2026-03-14 19:58:11,325][train.py][INFO] Epoch:[108/120] [199/237] Loss:0.14747
[2026-03-14 19:58:40,415][train.py][INFO] Epoch:[109/120] [99/237] Loss:0.17411
[2026-03-14 19:59:01,467][train.py][INFO] Epoch:[109/120] [199/237] Loss:0.12199
[2026-03-14 19:59:31,416][train.py][INFO] Epoch:[110/120] [99/237] Loss:0.37683
[2026-03-14 19:59:52,696][train.py][INFO] Epoch:[110/120] [199/237] Loss:0.13220
[2026-03-14 20:00:21,939][train.py][INFO] Epoch:[111/120] [99/237] Loss:0.14456
[2026-03-14 20:00:43,025][train.py][INFO] Epoch:[111/120] [199/237] Loss:0.12185
[2026-03-14 20:01:12,209][train.py][INFO] Epoch:[112/120] [99/237] Loss:0.25963
[2026-03-14 20:01:33,289][train.py][INFO] Epoch:[112/120] [199/237] Loss:0.36431
[2026-03-14 20:02:02,443][train.py][INFO] Epoch:[113/120] [99/237] Loss:0.36347
[2026-03-14 20:02:23,514][train.py][INFO] Epoch:[113/120] [199/237] Loss:0.21257
[2026-03-14 20:02:52,749][train.py][INFO] Epoch:[114/120] [99/237] Loss:0.09196
[2026-03-14 20:03:13,851][train.py][INFO] Epoch:[114/120] [199/237] Loss:0.20906
[2026-03-14 20:03:43,090][train.py][INFO] Epoch:[115/120] [99/237] Loss:0.13532
[2026-03-14 20:04:04,204][train.py][INFO] Epoch:[115/120] [199/237] Loss:0.27564
[2026-03-14 20:04:33,469][train.py][INFO] Epoch:[116/120] [99/237] Loss:0.23130
[2026-03-14 20:04:54,626][train.py][INFO] Epoch:[116/120] [199/237] Loss:0.20156
[2026-03-14 20:05:23,854][train.py][INFO] Epoch:[117/120] [99/237] Loss:0.11452
[2026-03-14 20:05:44,982][train.py][INFO] Epoch:[117/120] [199/237] Loss:0.43780
[2026-03-14 20:06:14,185][train.py][INFO] Epoch:[118/120] [99/237] Loss:0.16934
[2026-03-14 20:06:35,311][train.py][INFO] Epoch:[118/120] [199/237] Loss:0.28318
[2026-03-14 20:07:04,469][train.py][INFO] Epoch:[119/120] [99/237] Loss:0.19454
[2026-03-14 20:07:25,578][train.py][INFO] Epoch:[119/120] [199/237] Loss:0.32973
[2026-03-14 20:07:34,204][train.py][INFO] Finish training!
